Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
Richfield Rural Fire Department,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marshfield,Region 2,,911 Non-Transporting Service,715-207-2108,richfieldfd@gmail.com,44.569357,-90.139199
Sherry Vol Fire Department,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sherry,Region 2,,911 Non-Transporting Service,715-652-2881,polishvic@tds.net,44.584255,-89.919136
Granton Area First Responders,Clark,Emergency Medical Responder (EMR),911 Non-Transporting Service,Granton,Region 2,,911 Non-Transporting Service,715-213-0316,llsemt04@gmail.com,44.5894,-90.461628
Auburndale Fire And Rescue,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Auburndale,Region 2,,911 Non-Transporting Service,715-897-2300,borestodd@yahoo.com,44.623869,-89.985289
Rock (Town Of) Fire & Rescue,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marshfield,Region 2,,911 Non-Transporting Service,715-305-7465,reedbob64@hotmail.com,44.627187,-90.239416
Chili-Fremont Fire And Rescue,Clark,Emergency Medical Responder (EMR),911 Non-Transporting Service,Chili,Region 2,,911 Non-Transporting Service,715-683-2626,chilifirehall@yahoo.com,44.635570996,-90.35604876
Lincoln (Town Of) Fire Dept Wood Co.,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marshfield,Region 2,,911 Non-Transporting Service,715-207-5004,Beers_5@msn.com,44.644464,-90.25919
Hewitt Area Volunteer Fd And First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hewitt,Region 2,,911 Non-Transporting Service,501-749-2103,michael.brian.pietsch@gmail.com,44.64628,-90.098182
Hewitt (Town Of) Fire Department,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wausau (Town of),Region 2,,911 Non-Transporting Service,614-257-7924,googlit@gmail.com,44.646442843,-90.097432273
Marshfield Fire & Rescue Department,Wood,Paramedic,911 Transporting Service,Marshfield,Region 2,,911 Transporting Service,715-486-2093,steve.bakos@ci.marshfield.wi.us,44.661514,-90.168865
Mcmillan (Town Of) Fire Department First Responders,Wood,Emergency Medical Technician (EMT),911 Non-Transporting Service,Marshfield (Town of),Region 2,,911 Non-Transporting Service,715-207-2065,mcmillanfirewi@gmail.com,44.7282,-90.1251
Bevent First Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bevent,Region 2,,911 Non-Transporting Service,715-630-4616,roninbevent@gmail.com,44.734161,-89.410053
Loyal Ambulance Service,Clark,Emergency Medical Technician (EMT),911 Transporting Service,Loyal,Region 2,,911 Transporting Service,715-255-8721,rmszy6@frontier.com,44.7388,-90.4961
Spencer Fire And Ambulance,Marathon,Emergency Medical Technician (EMT),911 Transporting Service,Spencer,Region 2,,911 Transporting Service,715-615-9596,danjenwall@gmail.com,44.750369,-90.296976
Greenwood Area Ambulance Service,Clark,Emergency Medical Technician (EMT),911 Transporting Service,Greenwood,Region 2,,911 Transporting Service,715-267-7390,grwd59med1@tds.net,44.760502,-90.59838
Mosinee Fire District-Ambulance Service,Marathon,Emergency Medical Technician (EMT),911 Transporting Service,Mosinee,Region 2,,911 Transporting Service,715-693-2059,dg14403@gmail.com,44.783364,-89.727677
Stratford Area Fire Department & Ambulance,Marathon,Emergency Medical Technician (EMT),911 Transporting Service,Stratford,Region 2,,911 Transporting Service,715-687-4157,belliott@safdwi.com,44.7853,-90.0792
Emmet First Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Mosinee,Region 2,,911 Non-Transporting Service,715-897-3777,campnlyfe@yahoo.com,44.798736,-89.869587
Kronenwetter Fire Department First Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kronenwetter (Town of),Region 2,,911 Non-Transporting Service,715-370-0225,missalexamae@gmail.com,44.825506,-89.660402
Hatley Area Ambulance Service,Marathon,Emergency Medical Technician (EMT),911 Transporting Service,Hatley,Region 2,,911 Transporting Service,715-581-2601,p.esker54@gmail.com,44.887,-89.337
Riverside Fire District,Marathon,Paramedic with Critical Care Endorsement,911 Transporting Service,Rothschild,Region 2,,911 Transporting Service,715-359-3500,jacob.pribnow@riversidefd.com,44.88895,-89.624247
Ringle Fire Department,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Ringle,Region 2,,911 Non-Transporting Service,715-446-3771,ringlefire@gmail.com,44.892729488,-89.42546743
South Area Fire And Emergency Response District,Marathon,Paramedic with Critical Care Endorsement,911 Transporting Service,Rib Mountain,Region 2,,911 Transporting Service,715-355-6763,cgordon@saferdistrict.org,44.902765566,-89.654744298
Maine (Village Of) Fire Dept Emergency Medical Services,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wausau (Town of),Region 2,,911 Non-Transporting Service,715-351-0228,timhahnconstruction@yahoo.com,44.9168,-89.6612
Edgar Volunteer Fire Department Inc.,Marathon,Emergency Medical Technician (EMT),911 Transporting Service,Edgar,Region 2,,911 Transporting Service,715-581-0308,67emtzuleger@gmail.com,44.9223,-89.965
Greenheck Fan Corporation,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Schofield,Region 2,,911 Non-Transporting Service,715-216-4640,katelyn.tincher@greenheck.com,44.922673315,-89.596174416
Marathon City (Village Of) First Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marathon,Region 2,,911 Non-Transporting Service,715-443-2221,village@marathoncitywi.gov,44.931122,-89.838856
"Kolbe & Kolbe Millwork Company, Inc.",Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wausau,Region 2,,911 Non-Transporting Service,715-881-0455,David.Owens@kolbewindows.com,44.943138,-89.648828
Central Fire And Ems District,Clark,Emergency Medical Technician (EMT),911 Transporting Service,Abbotsford,Region 2,,911 Transporting Service,715-223-6485,tnixdorf@centralfireemsdistrict.com,44.945846,-90.321305
Owen-Withee-Curtiss Fire And Ems District Commission,Clark,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Owen,Region 2,,911 Transporting Service,715-229-2652,tserocki@owcfd.com,44.947616,-90.55938
Wausau Fire Department,Marathon,Paramedic with Critical Care Endorsement,911 Transporting Service,Wausau,Region 2,,911 Transporting Service,715-261-7900,fire@ci.wausau.wi.us,44.951513,-89.622345
Thorp Area Ambulance District,Clark,Emergency Medical Technician (EMT),911 Transporting Service,Thorp,Region 2,,911 Transporting Service,715-512-0126,ems.coordinator@thorpfire-amb-district.com,44.958328,-90.8107
Aspirus Wausau Hospital Medevac,Marathon,Paramedic with Critical Care Endorsement,Critical Care Transport Service,Wausau,Region 2,,Other Primary Service Type,715-843-1197,bob.kirkley@aspirus.org,44.964381,-89.666517
Wausau (Town Of) First Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wausau (Town of),Region 2,,911 Non-Transporting Service,715-845-8458,89.twausaufd@gmail.com,44.9823,-89.5357
Easton Fire Department First Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Ringle,Region 2,,911 Non-Transporting Service,715-573-2673,smbaumann2009@gmail.com,44.9874,-89.4235
Hamburg Emergency Medical Responders,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marathon,Region 2,,911 Non-Transporting Service,715-574-8329,EMR.karri@yahoo.com,44.9988,-89.8648
Athens Area Ambulance Service,Marathon,Emergency Medical Technician (EMT),911 Transporting Service,Athens,Region 2,,911 Transporting Service,715-257-9086,ttreweek@earthlink.net,45.033287,-90.075029
Taylor County First Responders,Taylor,Emergency Medical Responder (EMR),911 Non-Transporting Service,Stetsonville,Region 2,,911 Non-Transporting Service,715-965-5913,taylorcofirstresponders@gmail.com,45.062248235,-90.250348232
Texas (Town Of) Fire Department,Marathon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wausau (Town of),Region 2,,911 Non-Transporting Service,715-675-7476,86.texasfd@gmail.com,45.0756,-89.5364
Stetsonville Area First Responders,Taylor,Emergency Medical Responder (EMR),911 Non-Transporting Service,Stetsonville,Region 2,,911 Non-Transporting Service,715-560-3446,countrytough031@gmail.com,45.077089,-90.309094
Taylor County Ambulance Service,Taylor,Emergency Medical Technician (EMT),911 Transporting Service,Medford,Region 2,,911 Transporting Service,715-203-3175,bob.kirkley@aspirus.org,45.140146,-90.357026
Antigo (City Of) Fire Department,Langlade,Paramedic with Critical Care Endorsement,911 Transporting Service,Antigo,Region 2,,911 Transporting Service,715-623-3633,csmith@antigo-city.org,45.142085,-89.156402
Antigo (Town Of) Fire Department,Langlade,Emergency Medical Responder (EMR),911 Non-Transporting Service,Antigo (Town of),Region 2,,911 Non-Transporting Service,715-350-1088,nvanvonderen12@hotmail.com,45.162101,-89.113746
Corning First Responders,Lincoln,Emergency Medical Responder (EMR),911 Non-Transporting Service,Corning (Town of),Region 2,,911 Non-Transporting Service,715-218-7174,jody.geiger@corningfire.com,45.166222,-89.83815
Pine River Fire Dept First Responders,Lincoln,Emergency Medical Responder (EMR),911 Non-Transporting Service,Merrill,Region 2,,911 Non-Transporting Service,715-409-1101,andrew.grawien@gmail.com,45.179,-89.548719
Lincoln County Ems - Merrill,Lincoln,Paramedic,911 Transporting Service,Merrill,Region 2,,911 Transporting Service,715-536-2233,fdadministrative@ci.merrill.wi.us,45.18027,-89.693687
Russell (Town) First Responders,Lincoln,Emergency Medical Responder (EMR),911 Non-Transporting Service,Gleason,Region 2,,911 Non-Transporting Service,715-218-2585,townofrussellemr@gmail.com,45.30908,-89.496982
Pickerel Volunteer Fire & Rescue Squad,Langlade,Emergency Medical Technician (EMT),911 Transporting Service,Pickerel,Region 2,,911 Transporting Service,517-215-9498,rnctipton@gmail.com,45.358621,-88.909492
Lincoln County Ems - Tomahawk,Lincoln,Paramedic,911 Transporting Service,Tomahawk,Region 2,,911 Transporting Service,715-203-3175,bob.kirkley@aspirus.org,45.488862,-89.733783
"Laona Rescue Unit, Inc.",Forest,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Laona (Town of),Region 2,,911 Transporting Service,715-889-2322,laonarescue@gmail.com,45.511084415,-88.675152705
Prentice Volunteer Fire Department Ambulance Service,Price,Emergency Medical Technician (EMT),911 Transporting Service,Prentice,Region 2,,911 Transporting Service,715-657-0427,prenticecoordinator@gmail.com,45.544028,-90.288489
Laona Rescue - Interfacility Unit,Forest,Paramedic,Interfacility Transfer Service,Laona (Town of),Region 2,,Other Primary Service Type,715-889-2233,laonarescue@gmail.com,45.564861,-88.674262
Crandon Area Rescue Squad Inc.,Forest,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Crandon,Region 2,,911 Transporting Service,715-478-3470,melinda21carsi@gmail.com,45.573985,-88.903174
Nokomis Fire Department First Responders,Lincoln,Emergency Medical Responder (EMR),911 Non-Transporting Service,Tomahawk (Town of),Region 2,,911 Non-Transporting Service,715-612-0447,firechief@nokomiswi.gov,45.594095,-89.719831
Pelican Fire Rescue,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rhinelander,Region 2,,911 Non-Transporting Service,715-401-0888,abrooks@pelicanfire.com,45.601156,-89.333682
Woodboro First Responders,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Woodboro (Town of),Region 2,,911 Non-Transporting Service,715-360-4197,woodborofirstresponders@gmail.com,45.607726737,-89.554280384
Crescent First Responders,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rhinelander,Region 2,,911 Non-Transporting Service,715-966-1548,crescentfirstresponder@gmail.com,45.617542,-89.485835
Oneida County Ambulance-Rhinelander,Oneida,Paramedic,911 Transporting Service,Rhinelander,Region 2,,911 Transporting Service,715-203-3175,bob.kirkley@aspirus.org,45.638366,-89.311345
Rhinelander Fire Department,Oneida,Paramedic,911 Transporting Service,Rhinelander,Region 2,,911 Transporting Service,715-365-5400,ajohnson@rhinelanderwi.us,45.640279,-89.41327
Little Rice Fd First Responders,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Tomahawk,Region 2,,911 Non-Transporting Service,715-966-0250,ellenmathein@hotmail.com,45.644829,-89.806941
Argonne Fire Department,Forest,Emergency Medical Responder (EMR),911 Non-Transporting Service,Argonne (Town of),Region 2,,911 Non-Transporting Service,715-649-3310,randymckee2014@yahoo.com,45.659227,-88.875727
Stella Volunteer Fire And Rescue,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rhinelander,Region 2,,911 Non-Transporting Service,715-499-1453,stellafiredept@gmail.com,45.663034,-89.2215
Pine Lake First Responders,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rhinelander,Region 2,,911 Non-Transporting Service,715-369-9277,plfire@newnorth.net,45.67023,-89.423056
Central Price County Ambulance Service,Price,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Phillips,Region 2,,911 Transporting Service,715-820-1581,ckrawczyk2525@gmail.com,45.687963,-90.398163
Newbold Fire Department,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rhinelander,Region 2,,911 Non-Transporting Service,715-776-0208,joepeter82@hotmail.com,45.688676,-89.489267
Hiles Volunteer Fire Department,Forest,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hiles,Region 2,,911 Non-Transporting Service,715-649-3680,nciapalo@gmail.com,45.70541,-88.977261
Three Lakes Fire Department,Oneida,Emergency Medical Responder (EMR),911 Non-Transporting Service,Three Lakes,Region 2,,911 Non-Transporting Service,715-546-2330,3lakes51@gmail.com,45.79831,-89.176403
Oneida County Ambulance-Three Lakes Unit,Oneida,Paramedic,911 Transporting Service,Three Lakes,Region 2,,911 Transporting Service,715-203-3175,bob.kirkley@aspirus.org,45.79831,-89.176303
Fifield Ems First Responders,Price,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fifield,Region 2,,911 Non-Transporting Service,715-762-3800,drkartman@icloud.com,45.873036,-90.422225
Howard Young Medical Center Ambulance Oneida County Ems,Oneida,Paramedic,911 Transporting Service,Woodruff,Region 2,,911 Transporting Service,715-203-3175,bob.kirkley@aspirus.org,45.894214,-89.70183
Pike Lake Ems,Price,Emergency Medical Responder (EMR),911 Non-Transporting Service,Park Falls,Region 2,,911 Non-Transporting Service,715-316-3917,up2rwoods@gmail.com,45.912269,-90.083424
Joint Municipal Fire Commission - Eagle River,Vilas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eagle River,Region 2,,911 Non-Transporting Service,715-479-8835,erfd024@gmail.com,45.913645,-89.241464
St. Germain Fire / Rescue Ambulance Service,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Saint Germain,Region 2,,911 Transporting Service,715-542-3850,sgemschief@stgermainwi.gov,45.914835,-89.487706
Arbor Vitae First Responders,Vilas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Arbor Vitae,Region 2,,911 Non-Transporting Service,715-892-2382,hfmaintman@gmail.com,45.917785,-89.649964
Eagle River Memorial Hospital Ambulance Service,Vilas,Paramedic,911 Transporting Service,Eagle River,Region 2,,911 Transporting Service,715-203-3175,bob.kirkley@aspirus.org,45.927652,-89.251797
Flambeau Hospital Ambulance,Price,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Park Falls,Region 2,,911 Transporting Service,715-387-7433,skaya.dustin@marshfieldclinic.org,45.931417,-90.441752
Lac Du Flambeau Ambulance Service,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Lac du Flambeau,Region 2,,911 Transporting Service,847-651-7065,kirbygiampa@gmail.com,45.978963785,-89.893672
Plum Lake Ambulance Service,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Sayner,Region 2,,911 Transporting Service,715-542-2619,plfdchief63080@gmail.com,45.982818,-89.527193
Town Of Alvin Fire & Rescue,Forest,Emergency Medical Responder (EMR),911 Non-Transporting Service,Alvin,Region 2,,911 Non-Transporting Service,262-206-4715,lcclause9688@gmail.com,45.984470806,-88.829030987
Sherman (Town Of) First Responders Inc,Iron,Emergency Medical Responder (EMR),911 Non-Transporting Service,Town of Sherman,Region 2,,911 Non-Transporting Service,715-574-3601,sue.gantner@gmail.com,46.02793296,-90.079399717
Conover Ambulance Service,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Conover,Region 2,,911 Transporting Service,715-477-2036,conoverambulancechief@gmail.com,46.0498,-89.2683
Phelps Area Emergency Medical Service,Vilas,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Phelps,Region 2,,911 Transporting Service,715-617-0313,selinems@gmail.com,46.064766,-89.084119
Boulder Junction Volunteer Fire Department,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Boulder Junction,Region 2,,911 Transporting Service,715-385-2002,emsdeputychief@townofboulderjunction.org,46.106762,-89.642351
Northwoods Emergency Medical Services District,Vilas,Paramedic,911 Transporting Service,Manitowish Waters,Region 2,,911 Transporting Service,608-963-2380,nemsddirector@gmail.com,46.124641448,-89.875493416
Manitowish Waters Fire Company,Vilas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Manitowish Waters,Region 2,,911 Non-Transporting Service,715-614-3032,EMSMWFC@gmail.com,46.1398,-89.9182
Land O Lakes Ambulance Service,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Land O Lakes,Region 2,,911 Transporting Service,715-547-3255,sigbaake@yahoo.com,46.160717,-89.223666
Mercer Fire & Ems,Iron,Emergency Medical Technician (EMT),911 Transporting Service,Mercer (Town of),Region 2,,911 Transporting Service,715-476-2244,rickwestbend@gmail.com,46.167401435,-90.064811531
Mercer Area Ambulance & Rescue Inc.,Iron,Emergency Medical Technician (EMT),911 Transporting Service,Mercer,Region 2,,911 Transporting Service,715-562-0303,kellyjoustra@yahoo.com,46.167542156,-90.065099403
Winchester Volunteer Ambulance Service,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Winchester,Region 2,,911 Transporting Service,715-686-7290,emswinchester@gmail.com,46.2297,-89.8297
Presque Isle Volunteer Fire Department,Vilas,Emergency Medical Technician (EMT),911 Transporting Service,Presque Isle,Region 2,,911 Transporting Service,715-686-2000,cedarbay@centurylink.net,46.248095,-89.7275
Beacon Ambulance Service,Iron,Paramedic,911 Transporting Service,Hurley,Region 2,,911 Transporting Service,715-561-4140,curtis@avantihs.com,46.445216,-90.182906
Saxon Gurney First Responders,Iron,Emergency Medical Responder (EMR),911 Non-Transporting Service,Saxon,Region 2,,911 Non-Transporting Service,715-562-0165,saxongurneyfd@centurytel.net,46.492966,-90.413504
Kiel Fire Department Ambulance Service,Manitowoc,Paramedic,911 Transporting Service,Kiel,Region 3,,911 Transporting Service,920-663-3818,dick.isely@kielwi.gov,43.91308,-88.037839
Cleveland First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Cleveland,Region 3,,911 Non-Transporting Service,920-693-8234,lydiaslotke@gmail.com,43.914156,-87.754582
St. Nazianz Fire Department First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Saint Nazianz,Region 3,,911 Non-Transporting Service,920-773-2311,flipper0978@gmail.com,44.009312,-87.922584
Newton First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Manitowoc,Region 3,,911 Non-Transporting Service,920-901-3373,newtonrescue@lakefield.net,44.022923,-87.739238
Valders Fire Department Ambulance Service,Manitowoc,Paramedic with Critical Care Endorsement,911 Transporting Service,Valders,Region 3,,911 Transporting Service,920-775-4526,cdallas.vfdrescue@tds.net,44.06234,-87.881618
Silver Creek First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Manitowoc,Region 3,,911 Non-Transporting Service,920-323-2432,klschmidt27@gmail.com,44.063022034,-87.661383769
Collins First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Collins,Region 3,,911 Non-Transporting Service,920-901-9713,jgreen_911@yahoo.com,44.088531143,-87.981983868
Manitowoc Fire Rescue Department,Manitowoc,Paramedic with Critical Care Endorsement,911 Transporting Service,Manitowoc,Region 3,,911 Transporting Service,920-686-6540,tblaser@manitowoc.org,44.091287,-87.659351
Branch Fire & Rescue Inc.,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Whitelaw,Region 3,,911 Non-Transporting Service,715-250-1717,a.zimmerman1717@gmail.com,44.145582,-87.767359
Two Rivers Fire Department,Manitowoc,Paramedic with Critical Care Endorsement,911 Transporting Service,Two Rivers,Region 3,,911 Transporting Service,920-793-5521,davmur@two-rivers.org,44.152877,-87.57181
Reedsville First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Reedsville,Region 3,,911 Non-Transporting Service,920-756-2141,firstresponders@reedsvillewi.gov,44.153246,-87.948211
Francis Creek Area First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Francis Creek,Region 3,,911 Non-Transporting Service,920-323-6903,jbiely@mishicot.k12.wi.us,44.202148,-87.721787
Kellnersville First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kellnersville,Region 3,,911 Non-Transporting Service,920-588-7118,KCITYFIRE@GMAIL.COM,44.225427493,-87.795166017
Mishicot Area Ambulance Service,Manitowoc,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Mishicot,Region 3,,911 Transporting Service,920-255-4235,Director@MishicotEMS.org,44.237911,-87.639162
Two Creeks (Town Of) First Responders,Manitowoc,Emergency Medical Responder (EMR),911 Non-Transporting Service,Two Rivers,Region 3,,911 Non-Transporting Service,920-323-4821,alyssa.johanek@gmail.com,44.284588766,-87.566434127
Franklin First Responders,Kewaunee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kewaunee,Region 3,,911 Non-Transporting Service,920-362-8299,suzi.sevcik@gmail.com,44.367531,-87.66419
Carlton First Responders,Kewaunee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kewaunee,Region 3,,911 Non-Transporting Service,920-388-4838,STADISCH@YAHOO.COM,44.370648,-87.582601
Lawrence (Town Of) Fire Department,Brown,Emergency Medical Responder (EMR),911 Non-Transporting Service,De Pere,Region 3,,911 Non-Transporting Service,920-336-9131,ronc@lawrencewi.gov,44.398213,-88.151502
Ledgeview (Town Of) Fire Department,Brown,Emergency Medical Responder (EMR),911 Non-Transporting Service,De Pere,Region 3,,911 Non-Transporting Service,920-336-3360,thendricks@ledgeview.wi.gov,44.423586206,-87.97721756
Montpelier First Responders,Kewaunee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Luxemburg,Region 3,,911 Non-Transporting Service,920-845-2585,stodolafarms@gmail.com,44.434047,-87.735309
West Kewaunee First Responders,Kewaunee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kewaunee,Region 3,,911 Non-Transporting Service,920-255-4401,kolszewski1469@gmail.com,44.443063387,-87.567044645
De Pere Fire Rescue,Brown,Paramedic,911 Transporting Service,De Pere,Region 3,,911 Transporting Service,920-339-4091,bjansen@deperewi.gov,44.446397,-88.060371
Kewaunee Area Ambulance Service,Kewaunee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Kewaunee,Region 3,,911 Transporting Service,920-255-1436,deb.pribek@gmail.com,44.459636,-87.521963
"Aegis Group, Inc. D.B.A. County Rescue Service",Brown,Paramedic with Critical Care Endorsement,911 Transporting Service,Green Bay,Region 3,,911 Transporting Service,920-469-9779,countyrescue@countyrescue.com,44.470055,-87.995087
"Aegis Group, Inc. D.B.A. Eagle Iii",Brown,Paramedic with Critical Care Endorsement,Air Medical Service,Green Bay,Region 3,,Air Medical Service,920-469-9779,eagle3@eagle3.org,44.471055918,-87.995324237
"Aegis Group, Inc. D.B.A. County Rescue Services - Aemt",Brown,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Green Bay,Region 3,,911 Transporting Service,920-469-9779,countyrescue@countyrescue.com,44.47166579,-87.99502241
Ashwaubenon Department Of Public Safety,Brown,Paramedic,911 Transporting Service,Ashwaubenon,Region 3,,911 Transporting Service,920-593-4480,tbaxter@ashwaubenon.gov,44.492165,-88.057122
Green Bay Metro Fire Department,Brown,Paramedic,911 Transporting Service,Green Bay,Region 3,,911 Transporting Service,920-448-3276,Eric.Jeltema@greenbaywi.gov,44.51364678,-88.012774189
Luxemburg Emergency & Rescue Association,Kewaunee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Luxemburg,Region 3,,911 Transporting Service,920-360-7750,opickadan@yahoo.com,44.538389,-87.704912
Howard (Village Of) Fire Department,Brown,Paramedic,911 Transporting Service,Green Bay,Region 3,,911 Transporting Service,920-434-4679,dstaeven@villageofhoward.com,44.562208,-88.076622
Algoma Fire & Rescue,Kewaunee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Algoma,Region 3,,911 Transporting Service,920-487-2712,rory.groessl@algomacity.org,44.609464,-87.437207
Casco Lincoln First Responders,Kewaunee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Casco,Region 3,,911 Non-Transporting Service,920-680-1111,blegreve@techvisionssolutions.com,44.609744,-87.602057
Suamico (Village Of) Fire Department,Brown,Emergency Medical Responder (EMR),911 Non-Transporting Service,Suamico (Town of),Region 3,,911 Non-Transporting Service,920-434-3201,cgabryszek@suamicowi.gov,44.621739,-88.063903
N.E.W. Para-Medic Rescue Inc.,Brown,Paramedic,911 Transporting Service,Pulaski,Region 3,,911 Transporting Service,920-822-7600,nromenesko@goldcross.org,44.673004389,-88.246123232
Southern Door County First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Forestville,Region 3,,911 Non-Transporting Service,920-493-8772,sdemr42@yahoo.com,44.690315526,-87.479074274
Brussels Union Gardner Fire Department,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Brussels,Region 3,,911 Non-Transporting Service,920-825-1465,bugemr2025@gmail.com,44.722317795,-87.61910346
Gardner First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sturgeon Bay,Region 3,,911 Non-Transporting Service,920-495-5127,gardneremr@gmail.com,44.768294,-87.533987
Pensaukee Fire Department First Responders,Oconto,Emergency Medical Responder (EMR),911 Non-Transporting Service,Abrams,Region 3,,911 Non-Transporting Service,920-826-7610,amanda@pensaukeefiredept.org,44.804711,-87.998759
Sevastopol First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sturgeon Bay,Region 3,,911 Non-Transporting Service,920-493-5252,ashleybittorf@gmail.com,44.821217,-87.412883
Sturgeon Bay Fire Department First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sturgeon Bay,Region 3,,911 Non-Transporting Service,920-746-2916,kmontevideo@sturgeonbaywi.gov,44.834802,-87.374704
Nasewaupee Fire Rescue,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sturgeon Bay,Region 3,,911 Non-Transporting Service,920-495-0650,firechief@townofnasewaupeewi.gov,44.835508709,-87.427334915
Door County Emergency Medical Service,Door,Paramedic,911 Transporting Service,Sturgeon Bay,Region 3,,911 Transporting Service,920-743-5461,aleclair@co.door.wi.us,44.845458,-87.36145
"Oconto Falls Area Joint Ambulance Service, Inc.",Oconto,Paramedic with Critical Care Endorsement,911 Transporting Service,Oconto Falls,Region 3,,911 Transporting Service,920-846-2662,ofambulance@rescue30.com,44.866298,-88.128055
Menominee Tribal Ambulance Service,Menominee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Keshena,Region 3,,911 Transporting Service,715-799-3391,deborahb@mtclinic.net,44.884321,-88.651127
Oconto (City Of) Ambulance Service,Oconto,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Oconto,Region 3,,911 Transporting Service,920-834-7775,emsdirector@cityofoconto.com,44.887106,-87.865886
"Gillett Area Ambulance Service, Inc.",Oconto,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Gillett,Region 3,,911 Transporting Service,920-855-6060,gaas@centurytel.net,44.892092,-88.315014
